host_protein	abbreviated_data_source	is_experimental	data_source	acquisition_method	prioritized_for_pathway_analysis	do_ppi_expansion	source_specific_score	source_specific_score_type	activation	activation_type	metadata	uniprot	tdl
CTSL	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.398	na||STRING DB score	na||na	na||na	notes:cystatin and endolysosome lumen;role:resistance_pro_viral||source:ppi	P07711	Tchem
CTTN	hostprot_taiml||ppi_sg||ppi_string	False||True||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||SmartGraph||STRING	Shared by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.33||0.449	na||confidence||STRING DB score	na||na||na	na||na||na	na||source:ppi||source:ppi	Q14247	Tbio
CUL1	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.23	confidence	na	na	source:ppi	Q13616	Tbio
CUL2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.209	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q13617	Tbio
CWC27	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.17	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q6UX04	Tbio
CYB5B	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.157	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O43169	Tbio
CYB5R3	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	P00387	Tbio
DCAF7	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.161	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P61962	Tbio
DCAKD	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.161	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8WVC6	Tdark
DCTPP1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.162	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9H773	Tchem
DDX10	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.163	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q13206	Tbio
DDX20	hostprot_crispr||ppi_sg||ppi_string	True||True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||SmartGraph||STRING	Extracted by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.33||0.205	na||confidence||STRING DB score	na||na||na	na||na||na	notes:SMN complex;role:sensitization_anti-viral||source:ppi||source:ppi	Q9UHI6	Tbio
DDX21	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.173	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q9NR30	Tbio
DDX42	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.195	na||STRING DB score	na||na	na||na	notes:;role:sensitization_anti-viral||source:ppi	Q86XP3	Tbio
DENR	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.7340000000000001	na||STRING DB score	na||na	na||na	notes:viral translation;role:sensitization_anti-viral||source:ppi	O43583	Tbio
DHFR	dti_jm_hcq||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.181	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P00374	Tclin
DHRS9	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.243	na||STRING DB score	na||na	na||na	na||source:ppi	Q9BPW9	Tbio
DIAPH3	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.201	na||STRING DB score	na||na	na||na	na||source:ppi	Q9NSV4	Tbio
DNAJC11	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.152	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9NVH1	Tbio
DNAJC19	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.177	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q96DA6	Tbio
DNMT1	hpi_krogan||dti_jm_nhc||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Prediction by Jordi Mestres, PhD (JM)||STRING	Preprint/Nature, experimental data||File shared by JM||STRING API	False||False||False	True||True||False	na||na||0.302	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||source:dti||source:ppi	P26358	Tclin
DOLK	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.181	na||STRING DB score	na||na	na||na	notes:;role:sensitization_anti-viral||source:ppi	Q9UPQ8	Tbio
DPF2	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.901	na||STRING DB score	na||na	na||na	notes:;role:resistance_pro_viral||source:ppi	Q92785	Tbio
DPH5	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.183	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9H2P9	Tbio
DPP4	hostprot_nat||dti_jm_nhc||ppi_string	True||False||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||Prediction by Jordi Mestres, PhD (JM)||STRING	Shared by TIO||File shared by JM||STRING API	False||False||False	True||True||False	na||na||0.942	na||na||STRING DB score	down||na||na	quantity change||na||na	na||source:dti||source:ppi	P27487	Tclin
DPY19L1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.248	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q2PZI1	Tdark
DSCAML1	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.219	na||STRING DB score	na||na	na||na	na||source:ppi	Q8TD84	Tbio
DUSP1	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.3	confidence	na	na	source:ppi	P28562	Tchem
DYRK1A	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.32	na||STRING DB score	na||na	na||na	notes:;role:resistance_pro_viral||source:ppi	Q13627	Tchem
E2F1	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.18	confidence	na	na	source:ppi	Q01094	Tbio
ECSIT	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.993	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9BQ95	Tbio
EDEM3	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.878	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9BZQ6	Tbio
EEF1A1	ppi_string	True	STRING	STRING API	False	False	0.195	STRING DB score	na	na	source:ppi	P68104	Tchem
EEF2	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.537	na||STRING DB score	up||na	quantity change||na	na||source:ppi	P13639	Tchem
EGF	ppi_string	True	STRING	STRING API	False	False	0.185	STRING DB score	na	na	source:ppi	P01133	Tbio
EIF2AK4	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.285	na||STRING DB score	na||na	na||na	notes:viral translation; 2nd by feature importance FigS4;role:sensitization_anti-viral||source:ppi	Q9P2K8	Tchem
EIF2D	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.8079999999999999	na||STRING DB score	na||na	na||na	notes:viral translation;role:resistance_pro_viral||source:ppi	P41214	Tbio
EIF2S1	ppi_string	True	STRING	STRING API	False	False	0.211	STRING DB score	na	na	source:ppi	P05198	Tbio
EIF3A	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.8270000000000001	na||STRING DB score	na||na	na||na	notes:viral translation;role:resistance_pro_viral||source:ppi	Q14152	Tbio
EIF3B	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.23	na||STRING DB score	na||na	na||na	notes:viral translation;role:resistance_pro_viral||source:ppi	P55884	Tbio
EIF3D	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.163	na||STRING DB score	na||na	na||na	notes:viral translation;role:resistance_pro_viral||source:ppi	O15371	Tbio
EIF3L	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.787	na||STRING DB score	na||na	na||na	notes:viral translation;role:sensitization_anti-viral||source:ppi	Q9Y262	Tbio
EIF4A3	ppi_string	True	STRING	STRING API	False	False	0.866	STRING DB score	na	na	source:ppi	P38919	Tbio
EIF4E	ppi_string	True	STRING	STRING API	False	False	0.433	STRING DB score	na	na	source:ppi	P06730	Tchem
EIF4E2	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.177	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	O60573	Tbio
EIF4H	hpi_krogan||hostprot_nat||ppi_string	True||True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.209	na||na||STRING DB score	na||down||na	na||quantity change||na	source:hpi||na||source:ppi	Q15056	Tchem
ELOB	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	Q15370	Tbio
ELOC	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	Q15369	Tbio
EMC1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.244	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8N766	Tbio
EMSY	hostprot_crispr	True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101	Extracted by TIO	False	True	na	na	na	na	notes:;role:sensitization_anti-viral	Q7Z589	Tbio
EP300	hpi_phipster||hostprot_taiml||hostprot_hats||ppi_sg||ppi_string	False||False||False||True||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||Tudor I. Oprea, MD, PhD (TIO), Tim Willson (TW), PhD||SmartGraph||STRING	Predictions by PHIPSTER webapp, shared by TIO||Shared by TIO||TIO, TW||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||True||False||False	True||True||False||False||False	na||na||na||0.14||0.339	na||na||na||confidence||STRING DB score	na||na||na||na||na	na||na||na||na||na	source:hpi||na||na||source:ppi||source:ppi	Q09472	Tchem
ERBB2	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.08	confidence	na	na	source:ppi	P04626	Tclin
ERC1	hpi_krogan||ppi_sg	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||SmartGraph	Preprint/Nature, experimental data||SmartGraph analysis max. dist=3, min. conf=0	False||False	True||False	na||0.3	na||confidence	na||na	na||na	source:hpi||source:ppi	Q8IUD2	Tbio
ERCC2	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.265	na||STRING DB score	na||na	na||na	notes:TFIIH holo complex;role:sensitization_anti-viral||source:ppi	P18074	Tbio
ERCC3	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.171	na||STRING DB score	na||na	na||na	notes:TFIIH holo complex;role:sensitization_anti-viral||source:ppi	P19447	Tbio
ERGIC1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.203	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q969X5	Tbio
ERLEC1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.157	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q96DZ1	Tbio
ERMP1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.166	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q7Z2K6	Tdark
ERO1B	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.293	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q86YB8	Tbio
ERP44	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.258	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9BS26	Tbio
ETFA	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.168	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P13804	Tbio
ETFB	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.752	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P38117	Tbio
EXOSC2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.155	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q13868	Tbio
EXOSC3	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.2	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9NQT5	Tbio
EXOSC5	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.379	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9NQT4	Tbio
EXOSC8	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.334	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q96B26	Tbio
EZR	hpi_phipster||ppi_sg||ppi_string	False||True||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||SmartGraph||STRING	Predictions by PHIPSTER webapp, shared by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.09||0.546	na||confidence||STRING DB score	na||na||na	na||na||na	source:hpi||source:ppi||source:ppi	P15311	Tbio
F2RL1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.166	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P55085	Tchem
FABP1	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.162	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P07148	Tchem
FAM162A	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.234	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q96A26	Tbio
FAM8A1	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.515	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q9UBU6	Tbio
FAM98A	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.206	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8NCA5	Tdark
FAR2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.16899999999999998	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q96K12	Tbio
FAS	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.26	confidence	na	na	source:ppi	P25445	Tbio
FASTKD5	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.16899999999999998	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q7L8L6	Tdark
FBL	ppi_string	True	STRING	STRING API	False	False	0.226	STRING DB score	na	na	source:ppi	P22087	Tbio
FBLN5	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.243	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9UBX5	Tbio
FBN1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.157	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P35555	Tbio
FBN2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.249	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P35556	Tbio
FBXL12	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.205	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9NXK8	Tdark
FCAMR	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.511	na||STRING DB score	na||na	na||na	na||source:ppi	Q8WWV6	Tbio
FCGR1B	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.522	na||STRING DB score	na||na	na||na	na||source:ppi	Q92637	Tbio
FKBP10	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.197	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q96AY3	Tbio
FKBP15	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.6609999999999999	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q5T1M5	Tbio
FKBP7	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	Q9Y680	Tbio
FLT1	hpi_phipster||ppi_sg||ppi_string	False||True||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||SmartGraph||STRING	Predictions by PHIPSTER webapp, shared by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.79||0.226	na||confidence||STRING DB score	na||na||na	na||na||na	source:hpi||source:ppi||source:ppi	P17948	Tclin
FLT3	dti_jm_nhc||ppi_sg||ppi_string	False||True||True	Prediction by Jordi Mestres, PhD (JM)||SmartGraph||STRING	File shared by JM||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.1||0.161	na||confidence||STRING DB score	na||na||na	na||na||na	source:dti||source:ppi||source:ppi	P36888	Tclin
FN1	ppi_string	True	STRING	STRING API	False	False	0.386	STRING DB score	na	na	source:ppi	P02751	Tchem
FN3KRP	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.222	na||STRING DB score	na||na	na||na	na||source:ppi	Q9HA64	Tbio
FOXL2	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.2	confidence	na	na	source:ppi	P58012	Tbio
FOXRED2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.475	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8IWF2	Tdark
FYCO1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.39	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9BQS8	Tbio
G3BP1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.8909999999999999	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q13283	Tbio
G3BP2	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.541	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q9UN86	Tbio
GADD45A	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.4	confidence	na	na	source:ppi	P24522	Tbio
GALNT13	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.154	na||STRING DB score	na||na	na||na	na||source:ppi	Q8IUC8	Tbio
GALNT16	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.449	na||STRING DB score	na||na	na||na	na||source:ppi	Q8N428	Tbio
GALNT17	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.36	na||STRING DB score	na||na	na||na	na||source:ppi	Q6IS24	Tbio
GALNT18	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.191	na||STRING DB score	na||na	na||na	na||source:ppi	Q6P9A2	Tbio
